DisNo.,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$)
2021-0252-IND,Meteorological,Storm,Tropical cyclone,Tropical cyclone 'Tauktae',IND,India,Southern Asia,Asia,"Kerala, Karnataka, Goa, Maharashtra, Gujarat, Rajasthan, Delhi, Haryana, Uttar Pradesh and Uttarakhand",,,,222,Kph,,,2021,5,14,2021,5,19,198,153,700000,,700153,1400000
2021-0266-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Alabama, Louisiana, Mississippi, Tennessee, Georgia, Texas, Virginia, Arkansas, South Carolina, North Carolina",,Flood|Hail,,,Kph,,,2021,5,2,2021,5,4,4,8,,,8,1300000
2021-0273-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,East Baton Rouge Parish (eastern Louisiana); Lake Charles City (south-western Louisiana),,Flood,,,Kph,,,2021,5,14,2021,5,19,6,,250,,250,1300000
2021-0295-IND,Meteorological,Storm,Tropical cyclone,Cyclone 'Yaas',IND,India,Southern Asia,Asia,"Bengale occidental, Odisha",,Surge,,155,Kph,,,2021,5,25,2021,5,29,19,,1625000,,1625000,3000000
2021-0305-USA,Meteorological,Storm,Storm (General),Storm 'Claudette',USA,United States of America,Northern America,Americas,"Near Greenville, Butler county (Alabama); Louisiane, Mississippi, Floride",,Flood|Transport accident,,,Kph,,,2021,6,18,2021,6,21,14,20,324,,344,375000
2021-0316-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Bihar, Uttar Pradesh, Gujarat, Kerala, Karnataka, Uttarakhand, Maharashtra, Chhattisgarh, West Bengal, and Tripura states",Heavy rains,,,,Km2,,,2021,6,1,2021,6,30,59,,1000,,1000,100000
2021-0335-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Bolivar, Sunflower, Panola, and Tallahatchie Counties (Mississippi State); Arkansas, Texas",Heavy rains,,,,Km2,,,2021,6,7,2021,6,10,,,636,,636,950000
2021-0356-CAN,Meteorological,Storm,Tornado,,CAN,Canada,Northern America,Americas,Montreal City area (Quebec),,,,,Kph,,,2021,6,21,2021,6,22,1,2,300,,302,25000
2021-0357-USA,Climatological,Wildfire,Wildfire (General),Telegraph and Mescal Fires,USA,United States of America,Northern America,Americas,"Pinas and Gila counties (Arizona); Montana, Utah",,,,,Km2,,,2021,6,6,2021,7,4,,25,30,123,178,10000
2021-0366-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Bongaigaon, Dhemaji and Dibrugarh districts (Assam state)",Heavy rains,,,,Km2,,,2021,7,1,2021,7,1,,,7587,,7587,
2021-0367-CAN,Climatological,Wildfire,Wildfire (General),,CAN,Canada,Northern America,Americas,Lytton (British Columbia),,Heat wave,,,Km2,,,2021,6,30,2021,7,2,2,,250,,250,80912
2021-0369-CAN,Meteorological,Extreme temperature,Heat wave,,CAN,Canada,Northern America,Americas,British Columbia,,Wildfire,,49.6,°C,,,2021,6,26,2021,7,,815,,,,,
2021-0373-USA,Meteorological,Storm,Tropical cyclone,Hurricane 'Elsa',USA,United States of America,Northern America,Americas,"California, Georgia, Florida, North Carolina, South Carolina",,Flood,,100,Kph,,,2021,7,2,2021,7,9,1,9,,,9,1200000
2021-0390-USA,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Oregon, Washington, Northern California, Idaho, Western Nevada",,,,46.8,°C,,,2021,6,26,2021,6,30,229,,,,,
2021-0410-USA,Climatological,Wildfire,Wildfire (General),Bootleg Fire,USA,United States of America,Northern America,Americas,"Arizona, California, Oregon",,,,,Km2,,,2021,7,6,2021,7,31,,,,483,483,325000
2021-0419-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,Bombay,Monsoon rain,Collapse|Rain,,,,,,2021,7,17,2021,7,18,33,,,,,
2021-0433-USA,Climatological,Wildfire,Forest fire,Dixie fire,USA,United States of America,Northern America,Americas,Plumas County (California),"Heat, drought and winds",,,,Km2,,,2021,7,13,2021,8,11,3,13,36,1212,1261,3000000
2021-0435-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Pune, Raigada, Satara and Ratnagiri (Maharasthra); Goa, Karnataka, Jharkhand, Bengale, Himachal Pradesh, Uttarakand states",Monsoon rains,"Slide (land, mud, snow, rock)",,,Km2,,,2021,6,1,2021,9,30,1282,,375000,,375000,3100000
2021-0442-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Albuquerque (New Mexico); Larimer County (Colorado); Arizona,Heavy rains,"Slide (land, mud, snow, rock)",,,Km2,,,2021,7,16,2021,7,21,8,,,,,50000
2021-0458-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Union Territories of Jammu and Kashmir and Ladakh",,,,,Km2,,,2021,7,28,2021,7,29,37,17,105,,122,
2021-0487-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Arizona, Missouri, Nebraska, Iowa, South Dakota, North Dakota, New Mexico, Texas",,Flood|Hail,,,Kph,,,2021,7,8,2021,7,11,1,,,,,1200000
2021-0488-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Utah, Nevada, Arizona, New Mexico",Active monsoonal rainfall,Storm,,,Km2,,,2021,7,22,2021,7,28,9,,,,,300000
2021-0500-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Nigul Sari Village (Kinnaur District, Himachal Pradesh State)",Heavy rains,Collapse,,,,,,2021,8,11,2021,8,11,35,13,,,13,
2021-0526-USA,Climatological,Wildfire,Forest fire,Caldor fire,USA,United States of America,Northern America,Americas,El Dorado County (California),,,,,Km2,,,2021,8,13,2021,8,31,,,55903,,55903,1500000
2021-0531-USA,Meteorological,Storm,Tropical cyclone,Tropical depression 'Henri',USA,United States of America,Northern America,Americas,"Rhode Isl., Connecticut, Vermont, New York, New Jersey states",,Flood,,120,Kph,,,2021,8,20,2021,8,25,,,86,,86,550000
2021-0532-USA,Meteorological,Storm,Tropical cyclone,Tropical storm 'Fred',USA,United States of America,Northern America,Americas,"Transylvania, Haywood, Swain counties (North Carolina); Florida","Heavy rains, remnants of tropical storm Fred",Flood,,,Kph,,,2021,8,17,2021,8,22,7,,105,,105,1300000
2021-0533-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Dickson, Humphrey, and Hickman Counties (Tennessee)",Heavy rains,,,,Km2,,,2021,8,21,2021,8,22,22,,89,,89,150000
2021-0551-USA,Meteorological,Storm,Tropical cyclone,Tropical storm 'Ida',USA,United States of America,Northern America,Americas,"Louisiana, New York, New Jersey, Maryland, Connecticut, Virginia, Pennsylvania, Delaware",,Flood,,240,Kph,,,2021,8,28,2021,9,2,96,,14000,,14000,65000000
2021-0562-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,Utah and Colorado,,,,,Km2,,,2021,7,30,2021,8,2,1,,600,,600,25000
2021-0565-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Wisconsin, Illinois, Indiana, Michigan, Ohio, Missouri",,,,,Kph,,,2021,8,10,2021,8,13,,,,,,1300000
2021-0566-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,El Paso (Texas); Gila Bend (Arizona),,Lightening,,,Km2,,,2021,8,10,2021,8,16,3,,,,,225000
2021-0583-USA,Meteorological,Storm,Tropical cyclone,Tropical storm 'Nicholas',USA,United States of America,Northern America,Americas,"Texas, Louisiana",,Flood,,,Kph,,,2021,9,12,2021,9,17,,,,,,1000000
2021-0585-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Rajkot, Jamnagar, Porbandar, Valsad, Junagadh districts (Gujarat state)",Heavy rains,Broken Dam/Burst bank,,,Km2,,,2021,9,13,2021,9,15,7,,850000,,850000,
2021-0626-USA,Climatological,Wildfire,Wildfire (General),Fawn fire,USA,United States of America,Northern America,Americas,Shasta County (north California State),,,,,Km2,,,2021,9,22,2021,9,30,,,63,315,378,
2021-0630-IND,Meteorological,Storm,Tropical cyclone,Cyclone 'Gulab',IND,India,Southern Asia,Asia,"Srikakulam, Vizianagaram, Visakhapatnam, Kalingapatnam , Nizamabad, Hyderabad districts (Andhra Pradesh); Koraput, Malkangiri districts (Odisha); Aurangabad, Latur, Osmanabad, Parbhani, Nanded, Beed, Jalna, Hingoli districts (Maharashtra)",,,,90,Kph,,,2021,9,26,2021,9,29,20,,,,,
2021-0645-IND,Meteorological,Storm,Tropical cyclone,Cyclone 'Shaheen',IND,India,Southern Asia,Asia,"Koraput and Malkangiri (Odisha); Srikakulam, Vizianagaram, Visakhapatnam districts (Andhra Pradesh); Telengana, Maharashtra, Gujarta",,,,,Kph,,,2021,10,3,2021,10,3,7,,179000,,179000,
2021-0677-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Idukki, Kottayam, Pathanamthitta, Kollam, Achankovil, Thiruvananthapuram(Kerala state)",Heavy rains,,,,Km2,,,2021,10,11,2021,10,20,39,,3500,450,3950,
2021-0681-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,Nainital (Uttarakhand state),Heavy rain,"Slide (land, mud, snow, rock)",,,Km2,,,2021,10,18,2021,10,19,57,17,1385,,1402,
2021-0722-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,Tamil Nadu,Heavy rains,,,,Km2,,,2021,11,6,2021,11,8,14,,11000,,11000,
2021-0733-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Jefferson, Shelby, Marshall, Escambia, Baldwin counties (Alabama)",,,,,Km2,,,2021,10,4,2021,10,7,4,,,,,325000
2021-0741-CAN,Hydrological,Flood,Flood (General),,CAN,Canada,Northern America,Americas,"Fraser Valley, Okanagan-Similkameen, Thompson-Nicola,Vancouver (British Columbia)",Heavy rains,"Slide (land, mud, snow, rock)",,,Km2,,,2021,11,13,2021,11,16,4,,15000,,15000,2000000
2021-0741-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Whatcom County (northern Washington State),Heavy rains,,,,Km2,,,2021,11,13,2021,11,15,1,,500,,500,200000
2021-0748-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Chittoor, Kadapa, Anantapur, Nellore districts (Andhra Pradesh)",Heavy rains,Broken Dam/Burst bank,,,Km2,,,2021,11,18,2021,11,19,62,,74500,,74500,
2021-0777-IND,Meteorological,Storm,Tropical cyclone,Tropical storm 'Jawad',IND,India,Southern Asia,Asia,"Andhra Pradesh, Odisha, south-western West Bengal, Tripura",,,,100,Kph,,,2021,12,4,2021,12,6,5,400,1650,,2050,
2021-0784-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,"Big Island, Maui, Molokai, Oahu Island (Hawai)",Heavy rains and strong winds,Storm,,,Km2,,,2021,12,3,2021,12,8,,,,,,75000
2021-0797-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Graves County, Caldwell, Hopkins, Muhlenberg, Ohio, Warren, Taylor (Kentucky); Saint Charles (Missouri); Obion (Tennessee); (Mississippi); Craighead, Poinsett, Mississippi (Arkansas); Madison (Illinois)",,,,310,Kph,,,2021,12,10,2021,12,11,93,100,,,100,5200000
2021-0815-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Russell, Ellis, Lyon (Kansas); Floyd (Iowa); Missouri; Prowers, El Paso (Colorado); Nebraska; Freeborn (Minnesota); Wisconsin; Taos (New Mexico)",,,,160,Kph,,,2021,12,15,2021,12,16,5,,120,,120,1900000
2021-0832-USA,Climatological,Wildfire,Wildfire (General),Middle Fork and the Marshall wildfires,USA,United States of America,Northern America,Americas,"Louisville, Superior (Boulder county, Colorado)",,,,,Km2,,,2021,12,30,2022,1,1,2,,3273,381,3654,3300000
2022-0007-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Maryland, Virginia, New Jersey, Washington D.C., Missouri, Tennessee, Georgia",,Cold wave,,,Kph,,,2022,1,2,2022,1,3,5,,,,,525000
2022-0080-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Hale, Sumter, Elmore Counties (central Alabama); Rockies, Plains, Mid-Atlantic, Northeasr",,,,,Kph,,,2022,2,1,2022,2,5,10,,,,,526000
2022-0126-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Madison county (Iowa state); Illinois, Indiana, Ohio, Arkansas, Kentucky, New Hampshire, Pennsylvania, Maryland, New York, New Jersey, New England",,Hail,,275,Kph,,,2022,3,5,2022,3,7,8,,90,,90,820000
2022-0132-USA,Climatological,Wildfire,Wildfire (General),Adkins Ave Fire and Bertha Swamp Road Fires; Cottonwood Complex Fires,USA,United States of America,Northern America,Americas,"Calhoun and Gulf Counties (Florida); Reno, Harvey Counties (Kansas)","Prolonged period of dry conditions, steady winds, and abundant fuels",,,,Km2,,,2022,3,4,2022,3,9,,,156,108,264,
2022-0157-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Bastrop, Cass, Cooke, Grayson, Guadalupe, Houston, Jack, Madison, Marion, Montague, Nacogdoches, Panola, Rusk, Upshur, Williamson, and Wise counties (Texas); Oklahoma, Louisiana; Adams, Attala, Clay, Copiah, George, Hinds, Holmes, Jefferson, Kemper, Lauderdale, Madison, Smith, Warren, Oktibbehaand Yazoo Counties (Mississippi); Perry, Chilton, Bibb, Shelby, and Talladega Counties (Alabama); Ohio, South and North Carolina",,Hail,,,Kph,,,2022,3,21,2022,3,23,5,50,,,50,3000000
2022-0185-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Washington County (Arkansas); Shelby, Chilton, Bibb Counties (Alabama); Iowa, Kansas, Missouri; Newton county (Texas); Lousiana; Bolivar, Calhoun, Hinds, Warren, Yazoo Counties (Mississippi); Trigg County (Kentucky); Washington County (Florida); Armstrong County (Pennsylvania)",,Flood|Hail,,177,Kph,,,2022,3,29,2022,4,1,2,,90,,90,1300000
2022-0193-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Dallas Fort, Johnson, Collin, Smith counties (Texas); Marengo County (Alabama); Lee, Houston, Berkeley Counties (Georgia); Allendale county (South Carolina); Covington, Jefferson Davis, Lauderdale, Newton, Wayne Counties (Mississippi); Florida",,,,,Kph,,,2022,4,4,2022,4,7,3,,,,,3200000
2022-0212-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Williamson and Bell Counties (Texas); Pocahontas County (Iowa); Atoka and Coal counties (Oklahoma); Faulkner, Franklin, Logan, Prairie, Sebastian, and White Counties (Arkansas); Mower County (Minnesota); Jefferson, Shelby, Hardin Counties (Kentucky); Louisiana, Mississippi, Alabama, Tennessee, Indiana",,Flood|Hail,,265,Kph,,,2022,4,11,2022,4,14,1,28,15,,43,2800000
2022-0215-USA,Climatological,Wildfire,Wildfire (General),"McBride, Nogal Canyon, Hermits Peak Fires",USA,United States of America,Northern America,Americas,"Lincoln, San Miguel Counties (New Mexico)","Ongoing severe drought, strong winds and low relative humidity",,,,Km2,,,2022,4,12,2022,5,,2,49,600,,649,155000
2022-0219-IND,Meteorological,Storm,Severe weather,,IND,India,Southern Asia,Asia,Assam State,,Flood|Lightening,,,Kph,,,2022,4,1,2022,4,19,20,,95000,,95000,
2022-0227-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Alabama, Arkansas, Florida, Mississippi,Oklahoma, and Texas",,Hail,,,Kph,,,2022,4,15,2022,4,18,,,,,,882000
2022-0244-CAN,Meteorological,Storm,Storm (General),,CAN,Canada,Northern America,Americas,"Ontario, Manitoba",,Flood,,,Kph,,,2022,4,21,2022,4,24,,,,,,
2022-0244-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Nebraska, Kansas, Missouri, Dakota, Virginia, North Carolina, Texas, Montana, Minnesota",,Hail,,130,Kph,,,2022,4,21,2022,4,24,,,,,,624000
2022-0246-USA,Climatological,Wildfire,Wildfire (General),Calf Canyon and Hermits Peak Fires,USA,United States of America,Northern America,Americas,"Mora, Colfax, Lincoln, San Miguel, Valencia Counties (New Mexico); Colorado, Nebraska","Hot and dry conditions, severe drought, and very high winds",,,,Km2,,,2022,4,6,2022,6,14,,138,756,,894,
2022-0248-IND,Meteorological,Extreme temperature,Heat wave,,IND,India,Southern Asia,Asia,"Maharashtra State, West Rajasthan",,,,45,°C,,,2022,3,,2022,4,,25,,,,,
2022-0261-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,Andover Town (Butler County); Wichita City (Sedgwick County) - Kansas; Texas; Oklahoma,,Hail,,,Kph,,,2022,4,26,2022,5,5,3,6,300,,306,583000
2022-0266-CAN,Hydrological,Flood,Flood (General),,CAN,Canada,Northern America,Americas,Southern Manitoba Province,Heavi rains,,,,Km2,,,2022,4,22,2022,4,25,,,1000,,1000,
2022-0266-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,North Dakota and northern Minnesota (central-northern USA),Heavy rains,,,,Km2,,,2022,4,,2022,5,5,,,,,,
2022-0284-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Texas, North Carolina, West Virginia, Minnesota, Wisconsin, Oklahoma, Ohio, Pennsylvania",,Flood|Hail,,,Kph,,,2022,5,5,2022,5,11,5,,,,,1200000
2022-0293-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Itanagar distrci (Arunchal Pradesh); Dima Hasao, Cachar, Udalguri District (Assam); East Khasi Hills, Ri-Bhoi Districts (Meghalaya); Nagaland; Bihar; Himachal Pradesh; Madhya Pradesh; Gujarat; Maharasthra",Heavy rains,"Lightening|Slide (land, mud, snow, rock)",,,Km2,,,2022,5,17,2022,10,31,2035,1260,1300000,,1301260,4200000
2022-0304-CAN,Hydrological,Flood,Flood (General),,CAN,Canada,Northern America,Americas,"Manitoba, northern Alberta and Northwest Territories","Ice jams, rain and melting snow",,,,Km2,,,2022,5,30,2022,5,31,,,1000,,1000,36000
2022-0325-CAN,Meteorological,Storm,Derecho,,CAN,Canada,Northern America,Americas,"Toronto, Ottawa, Montreal, Ontario, Quebec",,,,,Kph,,,2022,5,19,2022,5,26,12,,,,,
2022-0325-USA,Meteorological,Storm,Derecho,,USA,United States of America,Northern America,Americas,"Minnesota, Kentucly, Michigan, Missouri, Illinois, Wisconsin",,,,,Kph,,,2022,5,19,2022,5,26,2,12,,,12,2500000
2022-0361-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,"Yellowstone National Park (Wyoming, Montana and Idaho states)",Heavy rain combined with glacier melt,"Slide (land, mud, snow, rock)",,,Km2,,,2022,6,11,2022,6,14,,,600,,600,
2022-0395-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Tapul village (Noney District, Manipur State); Mumbai",Heavy rains,,,,,,,2022,6,30,2022,7,6,67,,,,,
2022-0480-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,"Kentucky, Missouri",Heavy rains,,,,Km2,,,2022,7,26,2022,7,31,42,,475,,475,1500000
2022-0486-USA,Climatological,Wildfire,Wildfire (General),McKinney & Yeti Complex fires,USA,United States of America,Northern America,Americas,Siskiyou County (California),"Vague de chaleur, de forts vents et des orages",Heat wave,,,Km2,,,2022,7,29,2022,8,1,4,7,33,555,595,151000
2022-0539-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand and Jharkhand States",,"Slide (land, mud, snow, rock)",,,Km2,,,2022,8,,2022,8,22,63,,800000,,800000,
2022-0590-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,Uttar Pradesh,Monsoonal rains,,,,Km2,,,2022,9,18,2022,9,24,,,,,,
2022-0603-CAN,Meteorological,Storm,Tropical cyclone,Hurricane 'Fiona',CAN,Canada,Northern America,Americas,"Nova Scotia, Prince Edward Island, Newfoundland, and Quebec",,,,,Kph,,,2022,9,24,2022,9,25,1,,4000,,4000,
2022-0614-USA,Meteorological,Storm,Tropical cyclone,Hurricane 'Ian',USA,United States of America,Northern America,Americas,Charlotte and Lee Counties (Florida Peninsula); North Carolina,,Flood,,240,Kph,,,2022,9,28,2022,10,2,152,,,,,100000000
2022-0734-USA,Meteorological,Storm,Tropical cyclone,Hurricane 'Nicole',USA,United States of America,Northern America,Americas,"Bahamas, Florida",,,,120,Kph,,,2022,11,10,2022,11,11,5,,1500,,1500,1000000
2022-0735-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Texas, Arkansas and Oklahoma",,Flood,,,Kph,,,2022,11,4,2022,11,5,2,,600,,600,375000
2022-0798-IND,Meteorological,Storm,Tropical cyclone,Cyclone 'Mandous',IND,India,Southern Asia,Asia,Tamil Nadu,,,,,Kph,,,2022,12,9,2022,12,9,,,,,,
2022-0808-USA,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,Humboldt County (California),,,,6.4,Moment Magnitude,40.525,124.423,2022,12,20,2022,12,20,2,12,,,12,250000
2022-0811-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Louisiana, Oklahoma, Texas, Alabama, Mississippi, Georgia, Florida states",,,,,Kph,,,2022,12,12,2022,12,15,3,37,,,37,345000
2022-0818-CAN,Meteorological,Storm,Blizzard/Winter storm,Storm 'Elliott',CAN,Canada,Northern America,Americas,British Columbia,,,,,Kph,,,2022,12,21,2022,12,26,4,,,,,179000
2022-0818-USA,Meteorological,Storm,Blizzard/Winter storm,Storm 'Elliott',USA,United States of America,Northern America,Americas,"South Dakota, Oregon, Washington, Idaho, New York, Oklahoma, Kentucky, Colorado, Connecticut, Kansas, Maryland, Missouri, North Carolina, West Virginia, Wisconsin, Georgia, New Hampshire, Ohio, Tennessee, Vermont states",Heavy snowfall and very low temperatures,Cold wave|Flood,,120,Kph,,,2022,12,19,2022,12,29,98,,,,,2700000
2022-0863-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Sacramento City, Santa Cruz, Calaveras, San Mateo, Ventura, Santa Barbara, El Dorado, Monterey, Santa Clara, Alameda, San Benito, Merced, Mono, Stanislaus, Mendocino, Humboldt (California)",,"Flood|Slide (land, mud, snow, rock)",,,Kph,,,2022,12,26,2023,3,26,18,,717,,717,1000000
2023-0032-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,Alabama and Georgia,,,,145,Kph,,,2023,1,12,2023,1,12,11,49,,,49,770000
2023-0052-CAN,Meteorological,Extreme temperature,Severe winter conditions,,CAN,Canada,Northern America,Americas,,,,,-50,°C,,,2023,1,30,2023,2,5,2,,,,,165000
2023-0052-USA,Meteorological,Extreme temperature,Severe winter conditions,,USA,United States of America,Northern America,Americas,"Texas, Arkansas, Louisiana, Oklahoma, Tennessee. Mississippi",,Cold wave|Transport accident,,-50,°C,,,2023,1,30,2023,2,1,10,25,,,25,385000
2023-0122-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Mississippi, Kentucky, Arkansas, Alabama, Tennessee, Louisiana, Indiana and Ohio",,,,,Kph,,,2023,3,1,2023,3,3,13,,,,,6000000
2023-0135-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Monterey, Merced and Tulare Counties (California); Nevada",,Flood|Snow/ice,,,Kph,,,2023,3,9,2023,3,12,3,,551,,551,255000
2023-0161-IND,Meteorological,Storm,Severe weather,,IND,India,Southern Asia,Asia,"Khandwa, Sagar, Satna, Raisen, Narmadapura, Dhar, Ratlam, Ashok Nagar and Damoh (Madhya Pradesh State)",,Hail|Lightening,,,Kph,,,2023,3,17,2023,3,21,16,14,,,14,
2023-0176-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Rolling Fork, Silver City, Winona, Sharkey, Smithville, Amory and Montgomery (Mississippi); Alabama, Georgia, Tennessee",,,,,Kph,,,2023,3,22,2023,3,27,25,72,6000,939,7011,2900000
2023-0192-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Memphis (Tennessee); Owen and Sullivan counties (Indiana); Arkansas, Mississippi, Alabama, Illinois; Sussex county (Delaware); Oklahoma, Iowa, Kentucky, Ohio, Missouri, Kansas; Pennsylvania",,,,,Kph,,,2023,3,30,2023,4,3,31,200,5544,735,6479,5500000
2023-0206-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Bollinger County (Missouri); Illinois, Kentucky, Iowa, Indiana, Ohio, Michigan",,,,,Kph,,,2023,4,3,2023,4,7,5,5,225,36,266,2900000
2023-0225-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Pembroke Pines, Dania Beach and Fort Lauderdale (Broward County, Hollywood, Florida)",Heavy rains,,,,Km2,,,2023,4,12,2023,4,14,,,2000,,2000,1100000
2023-0234-IND,Meteorological,Extreme temperature,Heat wave,,IND,India,Southern Asia,Asia,Maharashtra state,,,,38,°C,,,2023,4,,2023,4,,11,330,,,330,
2023-0239-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Arkansas, Florida, Illinois, Kansas, Louisiana, Missouri, Nebraska,Texas, Oklahoma, Iowa",,Hail,,,Kph,,,2023,4,15,2023,4,22,1,12,,,12,2950000
2023-0253-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Dickens, Comanche, McLennan, Nolan, Swisher, Taylor, Floyd (Texas); St. Lucie, Nassau, Brevard, Hillsborough, Sumter, Broward, and Indian River (Florida); Effingham, Bryan, Wayne, Terrell, Chatham (Georgia); Oklahoma",,Hail,,,Kph,,,2023,4,23,2023,4,27,,,,,,1300000
2023-0272-CAN,Hydrological,Flood,Flood (General),,CAN,Canada,Northern America,Americas,"Baie-Saint-Paul (Charlevoix Region), Saint-Côme and Sainte-Émélie-de-l'Énergie (Lanaudière Region, south-western Quebec).",Heavy rains,Storm,,,Km2,,,2023,5,1,2023,5,4,2,,1000,,1000,
2023-0280-CAN,Climatological,Wildfire,Forest fire,,CAN,Canada,Northern America,Americas,"Alberta, British Columbia, Nova Scotia, Ontario, Québec, Saskatchewan",Dry conditions and high winds,Heat wave|Pollution,,,Km2,,,2023,5,6,2023,7,,2,,30000,,30000,200000
2023-0288-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Texas, Nebraska, Missouri, Kansas, Colorado, Illinois, Iowa, Indiana, Kentucky, Tennessee, South Carolina",,Hail,,,Kph,,,2023,5,6,2023,5,8,1,,,,,2200000
2023-0294-IND,Meteorological,Storm,Tropical cyclone,Cyclone 'Mocha',IND,India,Southern Asia,Asia,"Mizoram, Tripura, and Manipur states",,,,,Kph,,,2023,5,14,2023,5,14,,,1000,,1000,
2023-0324-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Kansas, Louisiana, Michigan, Ohio, Mississippi, Nebraska, Wyoming, Colorado and Arkansas",,Hail|Lightening,,,Kph,,,2023,6,15,2023,6,22,5,135,60,,195,3800000
2023-0328-IND,Meteorological,Extreme temperature,Heat wave,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Bihar, Tripura, Odisha",,,,45,°C,,,2023,4,,2023,6,,179,460,,,460,
